IPAddress,RecordedDate,ResponseId,UUID,strategy,gray,default,strategy_default,kindlmann,jet,strategy_jet,hawaii,sex,age,native_english,cb_1,cb_2
155.97.94.70,1/23/17 16:39,R_x3Yn4awtWlLNr8J,0e91f1b1-d756-44e9-950e-c3a815435b2b,Yes,"In addition to using basic color categories such as white, black, etc., I also used more specific color categories such as light gray, medium gray, dark gray, etc. Sometimes there seemed to be a distinct color between dark gray and medium gray, which I considered a color boundary as well. ","In addition to using basic color categories like red and yellow, I also used specific categories such as dark yellow, greenish yellow, etc. I considered specific categories like greenish yellow or greenish blue to be color boundaries as well.",IM_8plD4oKUVFqX2Yd,"In addition to using basic color categories such as blue and yellow, I used specialized categories like blue-green to mark boundaries.","I used basic color categories to mark boundaries, but I also used specific categories like light blue, dark blue, etc. For cloudy images like C, I paid more attention to specialized features.",IM_3NJMdI7ddeKcH9H,No,Male,24,Yes,42,5
155.97.94.70,1/23/17 17:20,R_2YaJLPdn0OEwNsA,296bdda0-a5fe-4f07-8e8d-9b7b3a006723,Yes,"In image A and image B, it was easier to identify the color boundaries because I could almost see lines of gradation, however in image C, the liens were more difficult to identify and therefore I had to go more on the standard white-gray, light gray, more dark gray, light black and black.  ","In these images, it was easiest to identify color boundaries when the two colors near one another contrasted more, for example the stark line between the cobalt blue and the sky blue in image A. In these images I found myself not considering a color boundary as where two colors almost mixed but more when there was a distinct line between the two colors. For example, I didn't consider the redish orange section as a separate boundary but rather as a gradation between the red and the yellow in images B and C. However in image A the orangeish-red was an easier distinction between the yellow and the red. ",IM_dmqzlZWGwVQwPzv,"I found with these three images, the colors were easier to find the boundaries of. I was able to distinguish easier between a gradation between two colors as apposed to a boundary. For example, in image A, I can tell the boundary between the black, then it stops and goes to blue then there is a gradation that I didn't count then it goes to green and yellow where I saw a clear boundary then yellow to pink where there was another clear boundary and then pink to white where I saw another clear boundary. In image B however, I had a harder time identifying the boundaries because the gradations were more present. ","In these images, I found a boundary between the dark blue and the cobalt blue and then a boundary between the cobalt and the sky blue. Then I didn't see a boundary between the sky blue and the green until the green met the yellow because there was gradation and it was difficult to identify a specific boundary from one color to another. Then there was a bold boundary between the green the yellow almost where the yellow is brightest and then I didn't consider the orange-red as a boundary because I couldn't find a bold boundary. Then there was a boundary between the red and the brick red. In image B I struggled to find more of the boundaries because the colors blended together more. However in image C I found that the boundaries were easier to identify but I still didn't consider the gradual change between red and yellow to be a separate boundary. ",IM_0wDHFgSj2HjEFSZ,No,Female,23,Yes,42,5
155.97.94.143,1/26/17 16:46,R_1HqSsr7nfieTM8Z,88c803fb-7bed-4df9-87e3-598a4b424a87,No,"A was the most difficult to distinguish, but I just went with the most dramatic differences in color. B was moderately difficult to distinguish colors, but similar to A I noted the biggest color differences, but it was easier than A. C was easiest to distinguish, possibly because of the ""shape"", it gave the most distinct ""lines"" in difference of color. ","For all, A, B, and C,I determined boundaries from largest differences in color that I could notice. Such as dark blue, light blue, green, yellow, etc. ",IM_dmqzlZWGwVQwPzv,"For all 3, A, B and C, I chose the most drastic differences in color that I noticed. So black, blue, green, yellow, white. ","For all 3, A, B, and C I distinguished the boundaries by the most drastic ""indents"" of color, dark blue to the light blue line, to the yellow line, red line, etc. ",IM_0wDHFgSj2HjEFSZ,Yes,Female,21,Yes,42,5
155.97.94.143,1/30/17 14:34,R_29lXZW0hqIn491t,7f2d8cfd-94ec-48b0-ba0c-6eaeb1180531,Yes,I counted the borders of when the colors would change,"I counted the exact areas the color changed, even if it was just slightly",IM_8plD4oKUVFqX2Yd,"I categorized by blue, then blue green, to green, and so on","I associated boundaries by blue, green, yellow",IM_0wDHFgSj2HjEFSZ,No,Female,22,Yes,42,5
155.97.94.70,1/31/17 15:37,R_2Ubk1kF5oB6oTZ4,cee889af-f7c0-4a27-80e2-4fe06c7af4bc,Yes,"I assocaited baoundaries with more basic colors such as black, white, light and dark gray. I didn't get very specific with the color boundaires because it was hard for me to determine exactly where those were. ","I chose boundaries based on basic colors rather than more specific colors. I did this because I couldn't quite tell exactly where the color changed. I knew it changed from green to yellow or blue to light blue, but I couldn't put an exact point on it. ",IM_dmqzlZWGwVQwPzv,"I chose the color boundaries based on where I could see a color fully changed. I dind't but a boundary between different shades of green, jus the color green and the color blue or yellow, but nothing in the middle. ",I made a boundary based on where I could see the basic colors change and an obvious color change. The circle image was easier to see where the colors change.  ,IM_0wDHFgSj2HjEFSZ,No,Female,23,Yes,42,5
155.97.94.70,2/1/17 12:03,R_sdpt7lnxtK3mc6J,fb38d01b-bac1-4c36-bedc-0ce92a5b19a2,No,"For the image A, I associated with shades of grey from the darkest to the lightest. I simply drew the boundaries by grouping those shades that cant be distinguised from one another together. However, the first two boudaries that I drew are black (the darkest shade) and white (the lightest shade). For the image C, it is a little bit complicated since the shades seem to be overlap with one another.","I drew boundaries basic colors that I saw first such as red, orange, yellow, green ,blue and dark blue. Then I looked at the boundaries again to see whether there still be color difference in each of them. Then I drew boundaries lines to separate them again.",IM_8plD4oKUVFqX2Yd,"I associated boundaries with white, salmon pink, yellow, green, leaf green, blue, navy blue, red, and black.","I associated boundaries from outside to inside. From navy blue, dark blue, blue, sky blue, light green, yellow, orange, red and margenta red respectively.",IM_3NJMdI7ddeKcH9H,No,Female,23,No,42,5
155.97.94.70,2/1/17 16:25,R_SJin2gGjUezyb17,58d90676-1b2e-4d0d-be3c-b3f5b6ac5c3e,Yes,"I associated my boundaries with the color categories black, gray, and white. I placed each boundary where i believed the color changed from either black to gray or gray to white. ","I associated these boundaries with basic differences in color. I placed my boundaries where the colors changed. My categories were blue, light blue, green, yellow, orange, and red. ",IM_8plD4oKUVFqX2Yd,"The categories I used for these images where black, purple, blue, green, yellow, pink, and white. I placed each boundary where I believe the colors changed from one to another.","For each of these images I based my boundaries on changes in color. The colors I used to define each boundary where blue, light blue, green, yellow, orange, red, and dark red. ",IM_0wDHFgSj2HjEFSZ,No,Female,19,Yes,42,5
155.97.94.143,2/6/17 10:37,R_AsrsuomdYKAx8lz,101a4214-8453-4ce7-8a75-e2e87379e327,Yes,"All 3 images have the basic color categories (white, black gray). Image A has the color black on the left side and increases in lightness (like a gradient) until it reaches the color white on the right side. Image B is also a gradient, but in a circular pattern with the black color on the outside of the image and an increase in lightness towards the center of the image which is white. Image C looks like an x-ray or scan of some type and has irregular shapes. The image is similar to image B in that image C is mostly dark (black) on the outermost areas and increase in lightness in the center. It is unlike image B in that image B has one bright white focal point. Image C has a few different bright white areas in the center of the image.  Image C is also a gradient in that the colors go from black to various shades of gray to the white areas.","All three images have the same colors used (blue, green, yellow, red), but the patterns are different. Image A has a dark blue on the left side and increases to a light blue. It then turns to various shades of green in the center and proceeds to yellow, then orange and then red. Image B has a similar trend, but the pattern is circular with the blue on the outermost layer of the circle and the center is red. Image C has a gradient style as well, but the shapes are irregular. The colors follow the same trend as image B where dark blue is in the outermost areas and then light blue, green, yellow, orange, and red in the center.",IM_8plD4oKUVFqX2Yd,"In all three images I separated the boundaries by different color categories (black, various shades of blue, various shades of green, yellow, pink and white).","I associated all of the images with the different color categories and separated them by: various shades of blue (dark to light), green, yellow, orange, and various shades of red (light to dark).",IM_0wDHFgSj2HjEFSZ,No,Female,34,Yes,42,5
155.97.94.143,2/6/17 12:16,R_295PxIe52Hn5xT9,4b6d6f3f-d44b-43a4-ab2b-db419c7c95b4,Yes,"I associated the boundaries with the different levels of grey. So I associated each boundary with a different color of grey. It started out white, moved into a light grey and continued to get darker until it reached a charcoal black. ","I associated each color with each boundary. This was a little hard where the boundary levels met because the colors fade into each other. For these boundaries, I marked them by each distinct color I could find. So there was red, orange, yellow, green, aqua blue, medium blue and dark ocean blue. ",IM_8plD4oKUVFqX2Yd,"For the boundaries above I broke them into color groups of white, cream/beige, dark yellow, lime green, dark blue, dark dark dark blue/black. ","For the colors above I broke them into color groups, but had more than just one color for each range. There was dark red, red, orange red, orange, yellow, like green, aqua blue, sky blue, dark blue, ocean blue. ",IM_0wDHFgSj2HjEFSZ,No,Female,22,Yes,42,5
155.97.94.143,2/6/17 17:27,R_1kOKMRTCLuTz8Y9,7f9277d3-62cf-4729-a47b-22fc462b6afb,Yes,I decided where to place the boundary lines based on when the shade of the color in the image changed to another color.,I associated the boundary lines based on when the color in the bounday changed. I don't think I created extra boundaries based on the differing shades of a color (green vs lime green),IM_8plD4oKUVFqX2Yd,"I tried to place boundaries after black turned to blue, after blue turned to green, then yellow, and then white.","B was the easiest to specify the boundaries because the change in colors seemed more obvious to me. A and C seemed to blend the colors more, which made it more difficult to place exact boundary lines.",IM_0wDHFgSj2HjEFSZ,No,Female,18,No,42,5
155.97.94.70,2/7/17 15:45,R_Ze3U8HOn0ri60WR,804a19ef-02fc-4c14-9373-9f7e255b0ed2,No,I noticed where the imgae seem to make a line in and of itself. I did it with basic colors and tried to match the shade of the middle with the basic color in order to put them together. It was easier to do this when the shades didn't melt into one another like they do in A. When it was more like A and just a gradient I had to go to more specific color variations. ,"I associated the boundaries with the basic colors like blue, red and green. When the shade was mixed I put it in the middle of that to ensure I was close. It was easier to decipher by basic colors than specific shades. ",IM_8plD4oKUVFqX2Yd,"I associated the boundaries with blue, green, and yellow. I had to decide if the red was different enough in order ot give it its own boundary but in the end I decided it was. It was harder to decipher the darker colors. ",In these images I chose more specific categories such as shades of red and blue. Because the shades were easier to distinguish I felt that they were different enough to put in seperate categories. ,IM_3NJMdI7ddeKcH9H,No,Female,18,Yes,42,5
155.97.94.143,2/8/17 14:44,R_2uQixIMI3CCUMYh,9229247b-f93a-4bd4-a47a-08ccc1addf2c,Yes,"The boundaries that I set were very specific as to the shades I saw. I put them into specialized categroies as discribed above, differentiating between black and very dark grey, and middle gray from slightly lighter than middle gray. ",I was as specific as possible. For example I defferentiated from blue-green from slightly bluer-green. ,IM_dmqzlZWGwVQwPzv,Again I differentiated between differnet specific colors such as yellow-green from green and black from dark violet,"I was specific between different shades and tones of reds, oragnes, greens, and blues. For example I seperated light blue from even lighter blue.",IM_3NJMdI7ddeKcH9H,No,Female,21,Yes,42,5
155.97.94.70,2/9/17 12:06,R_2vjiXoDn8t7VZFa,1f1c7408-dbc0-429a-82c5-48b74448380f,Yes,"In A it felt easier as the display put lines into the shades, making it feel like there were more distinct shades than in C. B shared some similarities to A in this respect.",A and B felt exactly the same to me. However C muddles the blue a bit more and seems to have a sharper transition from cyan to lime green.,IM_8plD4oKUVFqX2Yd,"On this one I tried to separate as many colors as I could the more maroon color on the edge, following the violet, indigo, transition to green, yellow, peach, and finally white. However it felt like the indigo mixed with green was its own color, as with the peach color in the white. Which led me to add more color than was possibly neccisary.",Each shade of bluw was given its own color definition in my mind for this specific set of colors. Leading to extra demarking lines in A and B than were included in C as C does not have the darker blues except for the very edge.,IM_3NJMdI7ddeKcH9H,No,Male,21,Yes,42,5
155.97.94.70,2/9/17 12:35,R_12PSNOuhE3qmY3d,37397209-ac24-45cd-ad1f-22cbfca528ba,Yes,"I went with as basic color categories as i could find. When I was just picking how many there were and writing a number it was harder to keep track. When I put the boundries down, it was easier to see each one that I missed when I was just counting. Image B was the easiest to me to pick the color boundries, while C was the most difficult. I didn't ever really look into more details than just basick white, black, gray, and lighter variations.","I went through simple categories again, like blue, green, yellow, and so on. I was able to differentiate the lighter colors on this one easier than on the black and white ones. In these B was still the easiest for me to see the different boundries, and C was the most difficult. The dark blue on each side of the box look the same, but they ended up being different when I was setting boundries.",IM_8plD4oKUVFqX2Yd,These ones were easier for me to differentiate because of the bold colors and differences. B was still the easiest because the boundries seemed more set. C was easier this time than in other cases.,"These ones were more difficult because of all the different shades of blue. I was able to differentiate more when I was settin the boundries, but when I was just finding them and writing don the number, it was a lot more difficult. ",IM_3NJMdI7ddeKcH9H,No,Male,22,No,42,5
