IPAddress,RecordedDate,ResponseId,UUID,strategy,gray,default,strategy_default,kindlmann,jet,strategy_jet,hawaii,sex,age,native_english,cb_1,cb_2
155.97.94.143,12/12/16 14:04,R_2s6CdoPAMMpVYi6,de550cd7-699c-4223-8183-e7580d3956da,Yes,"I picked out the bright white as being a color and then obviously black as being its own color. The gray in picture B I believe I just grouped that as being just one gray, however pictures A and C the grays were more easily identified. In picture C I had the most about of subcategories of the color gray than I did in the other two pictures. ","All I did was look at the colors of the rainbow, so red, orange, yell, green, and blue, and based my decision off of those. For me, picture B was the easiest to identify and pick out the different colors, where as the ones that were like picture A were harder for me to pick out. The colors were easier to identify than the simple black, white and gray pictures. ",IM_8plD4oKUVFqX2Yd,"I used colors, white, and then there was an off white in there so I distinguished between the two, and then yellow, blue, green, a really dark purple color, and then black. ","I pretty much used the same concept I did when I distinguished between the rainbow, however, this one had added color. For example there's a little maroon in the middle of the red that wasn't there on the previous one and this one has more shades of blue that I pointed out as being different  ",IM_3NJMdI7ddeKcH9H,No,Female,19,Yes,42,5
155.97.94.70,1/26/17 12:48,R_1LkAmyHUhIWmagQ,3a90d49e-526c-4d3f-a946-63403fef97a6,Yes,"I used dark, light grey, and white to determine color catergories in these images","I used basic catergories, dark blue, light blue, green, yellow, orange, and red",IM_8plD4oKUVFqX2Yd,"I used black, blue, green, yellow, and white","I used dark blue, blue, light blue, green, yellow, orange, red, and dark red/black",IM_0wDHFgSj2HjEFSZ,Yes,Female,27,Yes,42,5
155.97.94.143,1/26/17 17:17,R_2D0rlpFObg5CiQs,09212602-447b-49f0-b514-7ca1a1464dca,Yes,"They share gray shadows, starting from black, passing through charcoal, middle gray, lighter gray, and ending on white. The boarders for these colors are stronger in image C, while it's more vague in images A and B","In these pictures i see navy blue, lighter blue, turquiose, acqua, green, lemon color, yello, orange and red",IM_dmqzlZWGwVQwPzv,"black, purple, lighter purple, navy blue, blue, greener blue, green, lime color, yellow, pink, white","navy blue, royal blue, blue, lighter blue, acqua, green, lime color, yellow, orange, red, darker red",IM_3NJMdI7ddeKcH9H,No,Female,19,No,42,5
155.97.94.143,1/30/17 16:20,R_wWRNnD9EV5YbTXz,6b43f795-f824-4222-b3ae-920f9b65c0d3,No,"white, light gray, medium gray, dark gray, black","red, red-orange, orange, yellow, yellow-green, light green, green, turquoise,light blue, medium blue, blue, violet",IM_8plD4oKUVFqX2Yd,"white, pink, yellow, green, blue, violet, black","mahogany, red, red-orange, orange, yellow, light green, green, turquoise, light blue, medium blue, blue, violet",IM_0wDHFgSj2HjEFSZ,Yes,Female,19,Yes,42,5
155.97.94.70,1/31/17 16:03,R_3NwAHsnl1B03vYy,08320cac-6b19-4e96-86be-1c38a0032d76,Yes,"Darkest (Black), Light Dark (Dark Gray), Gray, Lighter (Light Gray), Lightest (White)","Dark Blue, Light Blue, Super light blue, green, yellow, orange/lighter red, red",IM_8plD4oKUVFqX2Yd,"Black, Maroon red, Purple, Dark Blue, light blue, green, yellow, light pink, white","Dark blue, blue, light blue, super light blue, green, faded yellow, yellow, orange, bright red, dark red",IM_3NJMdI7ddeKcH9H,No,Female,18,Yes,42,5
155.97.94.70,2/1/17 12:42,R_3hAreFBUaQsfCIi,cd9cf3f9-29f6-40df-baca-c3e77d71f0be,Yes,"Image A is easier to categorize because I believe since this is a computer I can see the distinction of the lines that go up and down. So any slight change I would consider it a new shade. B also has the same concept, any slight change I would consider it a new color. If going from dark to light, i'd consider it lighter. From lighter to dark, i'd just say the image is lessoning in white. C is harder, there are more shapes so each shape I categorize it as one large color. Harder to blend.","In A, between each base color (such as yellow and red) I would go in order from left to right, yellow as a color, more yellow than red, orange, more red than yellow, and then red. 5 groups in two primary colors. B is a little more difficult, I would say red is a prime color, then yellowish-red, then orange, than yellow. C I would not take that much time into this one as the other, due to the shapes I would just say going inside out, red, orange, yellow, green, light blue, darker blue, darkest blue. Mainly hititng the larger colors. Not blending as much in C.",IM_dmqzlZWGwVQwPzv,"In all these, colors don't blend as easily, so it is easier for me to have a better distinction between all the colors. In A, I would start with Black, purple, dark blue, lighter blue, blueish green, greenish blue, green, greenish yellow, yellow, pink, white. Same with B. C, i don't really see the purple, so this one is easier again to just do the basic colors i see. Black, dark blue, light blue, green, yellow pink, white.","I think there are more distinctions in each of these than the images i've seen prior. Not so much blended but jump from one color to the next. A would be darkest blue, dark blue, light blue, neon, neon green, green, yeloow green, yellow, orange,. etc. Same as B. C I am still just going to do shapes and go with the basic colors. ",IM_3NJMdI7ddeKcH9H,No,Female,23,Yes,42,5
155.97.94.70,2/2/17 15:02,R_2zpF10Q85Z8G1XJ,a073d179-b2be-474c-ae3d-67bcd1a2fedf,Yes,"I used colors like white, light gray, gray, dark gray, and black to differentiate between the categories. While looking at the images I would go off of what I had initially saw, sometimes it seemed that the longer i looked at something the more colors there were at the end. Where at the beginning the colors were a lot easier to differentiate between and great sections for. ","For the more colorful images I used colors like dark blue, light blue, turquoise, blue green, green, yellow green, yellow, orange, red orange, and orange. I didn't use specific colors such as cyan but rather just used both colors to describe where they had blended together such as the area between blue and green looked like a blue green color to me. In some of the more colorful images I was able to pick up hints of violet as well so I used those to help differentiate the colors. Much like my decision making with the gray scale images  I would go off of what i had initially saw. It seemed as time went on and I studied the image more, more colors would appear. ",IM_8plD4oKUVFqX2Yd,"For these color categories I used colors such as black, violet, blue, blue green, green, yellow green, yellow, light orange, and white. This colors were more on the darker side making them easier for me, personally, to differentiate the colors. It was easy for me to see a clear line of differentiation while studying these images and it seemed as if the colors blended together less. I was able to see this images and come to a solution fairly quickly in comparison with the other color categories on previous images. ","For these images I used the same colors I had used on the other images that looked fairly similar, I don't think I realized they had different colors while I was doing it. I used the colors red, red orange, yellow, yellow green, green, blue green, turquoise, light blue, blue, and dark blue. Because these ones had different colors it was easier for me to tell the colors apart in these images rather than the other colored images most similar to this one. Although I was not aware that they consisted of different colors while specifying, I do think it was easier to tell these ones apart then it was for any of the others. I was able to look at these and see the colors immediately and I could tell exactly where one started and ended.  ",IM_0wDHFgSj2HjEFSZ,No,Female,19,Yes,42,5
155.97.94.143,2/10/17 11:30,R_8jlWoYoUHUf6X7P,6b494de6-90ac-4d6b-8311-eff79d51d845,Yes,"I used simple colors such as black/ dark, gray/light, and then white/bright","I used blue, light blue, green, yellow, orange, and red. ",IM_8plD4oKUVFqX2Yd,"I used each specific color so darker purple, lighter purple, blue, green, yellow, and the light white.","I divided them into every color I saw which was simple colors like blue, lighter blue, green, yellow, orange, red.",IM_3NJMdI7ddeKcH9H,No,Female,18,Yes,42,5
155.97.94.143,2/10/17 12:17,R_26gum7U9j48b6rZ,fcf08809-e1b8-4e1c-8293-4e907cb62047,Yes,"For images such as A and C since they are hazy and smeared I used a more specialized catagory such as light grey and charcoal black. But in images like B I simply used black,grey and white  to make my decision on the number of colors.","I specifically used the colors I could see in image B as categories for my decision. However, in images A and C i was more specific for choosing the amount of colors that were in these images. I liked being more specific because the hues were more mixed and integrated.",IM_dmqzlZWGwVQwPzv,"I used specialized categories for the images above because they were all different shades of green, yellow,blue and black. ",for these images I used the specialized categories because there was a mix in the hues. i liked being specific to the colors shown because of all the different layers to the image.,IM_3NJMdI7ddeKcH9H,No,Female,20,No,42,5
155.97.94.143,2/14/17 14:44,R_2WYWtPRmoDCeltr,2652ec50-3918-492f-9d65-6210c2ca3031,Yes,"I used a more specialized method to categorizing the color categories, based in pigmentation and hues. Some of the images had more defined (delineated) boundaries between colors .This was the case of image A & B. ","I used a more basic approach for the color images, basing my opinion of categories on clear contrasts between each color and trying not to disect the hues in each color.",IM_8plD4oKUVFqX2Yd,"Used a combination of approaches. Image A & B color boundaries were defined and easier to estimate, thus I used a more specialized approach. Image C, categories were not as defined, thus I used a more basic approach.","In all these images categories were better defined, so I was able to differentiate between different hues of the same color wheel.",IM_0wDHFgSj2HjEFSZ,No,Female,40,No,42,5
